fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt
VESTBORG,Ålesund,Åheim,2022-01-12 17:00:00+00:00,2022-01-13 01:00:00+00:00
BERGENSFJORD,Bergen,Risavika,2022-01-12 15:28:00+00:00,2022-01-12 21:30:00+00:00
SJOVIK,Kristiansand,Kristiansand,2022-01-09 18:03:00+00:00,2022-01-12 21:00:00+00:00
HAGLAND CAPTAIN,Uskedalen,Storesund,2022-01-13 03:00:00+00:00,2022-01-13 07:00:00+00:00
ASVAERFJORD,Ottersøy,Ottersøy,2022-01-13 02:30:00+00:00,2022-01-13 17:00:00+00:00
ØSTERBRIS,Torangsvåg,Salthella,2022-01-13 05:55:00+00:00,2022-01-13 07:00:00+00:00
GULLHA,Oslo,Svelvik,2022-01-13 15:05:00+00:00,2022-01-13 19:15:00+00:00
TROMS CASTOR,Dusavik,Sandnes,2022-01-13 15:10:00+00:00,2022-01-13 17:00:00+00:00
NYBO,Søvik,Midsund,2022-01-13 15:10:00+00:00,2022-01-13 17:00:00+00:00
KONGO STAR,Rotterdam,Mongstad,2022-01-12 19:48:00+00:00,2022-01-15 04:00:00+00:00
ROSLAGEN,Seljestokken,Måløy,2022-01-13 20:15:00+00:00,2022-01-13 23:00:00+00:00
NIDARO,Tromsø,Blokken,2022-01-14 00:20:00+00:00,2022-01-14 14:00:00+00:00
STEIGEN,Bogøy,Skutvik - Hamarøy,2022-01-13 19:20:00+00:00,2022-01-14 07:00:00+00:00
HORDAFOR III,Salthella,Hirtshals,2022-01-14 05:00:00+00:00,2022-01-15 05:00:00+00:00
NORMAND FERKING,Mongstadbase,Offshoreinst. Nordsjøen,2022-01-14 06:00:00+00:00,2022-01-14 14:00:00+00:00
MORETIND,Flem,Vistdal,2022-01-14 06:00:00+00:00,2022-01-14 11:00:00+00:00
VARDEFJELL,Utskarpen Ankring,Halmstad,2022-01-14 09:00:00+00:00,2022-01-18 09:00:00+00:00
RONJA SUND,Bømlo,Storesund,2022-01-11 18:00:00+00:00,2022-01-11 21:00:00+00:00
RO SAILOR,Dalasundet,Sortland,2022-01-10 17:30:00+00:00,2022-01-12 04:30:00+00:00
KOKSHAYSK,Kirkenes,Kirkenes,2022-01-14 20:00:00+00:00,2022-01-14 20:30:00+00:00
TAUPO,Lekaflaket Ankring,Kvernhusvika,2022-01-04 14:30:00+00:00,2022-01-05 02:15:00+00:00
BAL BULK,Oslo,Langøya,2022-01-12 13:25:00+00:00,2022-01-12 17:45:00+00:00
THUN EMPOWER,Oslo,Mongstad,2022-01-14 15:05:00+00:00,2022-01-16 07:10:00+00:00
AMALIE,Botnaneset - Flora,Averøy,2022-01-12 10:10:00+00:00,2022-01-13 02:20:00+00:00
RIGNATOR,Moss,Gunhildvågen,2022-01-12 14:30:00+00:00,2022-01-14 10:00:00+00:00
LONGVIND,Eydehavn - Arendal,Kolding,2022-01-14 17:00:00+00:00,2022-01-15 09:00:00+00:00
SAMSKIP CHALLENGER,Høgset,Holla,2022-01-15 04:25:00+00:00,2022-01-15 09:35:00+00:00
HARVEST,Nordsjøen,Kvaløy,2022-01-12 10:41:00+00:00,2022-01-12 14:00:00+00:00
FJORDSTRAUM,Mongstadbase,Botnaneset - Flora,2022-01-15 16:30:00+00:00,2022-01-15 23:01:00+00:00
FEED ROGALAND,Kjøpsvik,Mo i Rana,2022-01-16 11:00:00+00:00,2022-01-17 19:00:00+00:00
BAL BULK,Langøya,Halden,2022-01-13 04:50:00+00:00,2022-01-13 11:50:00+00:00
WILSON DUNDALK,Alta,Orkanger,2022-01-20 07:00:00+00:00,2022-01-31 18:15:00+00:00
STRAUMBAS,Barentshavet,Harøysundet,2022-01-13 09:04:00+00:00,2022-01-13 14:04:00+00:00
KRABBSUND,Narvik,Antwerpen,2022-01-14 15:00:00+00:00,2022-01-21 11:00:00+00:00
ISLAND VALIANT,Bergen,Skålevik,2022-01-13 11:00:00+00:00,2022-01-13 12:00:00+00:00
BONTRUP AMSTERDAM,Dyrstad,Antwerpen,2022-01-23 16:35:00+00:00,2022-01-27 17:30:00+00:00
SPLITTNES,Rostock,Jelsa,2022-01-13 11:00:00+00:00,2022-01-15 20:55:00+00:00
NYBO,Ålesund,Søvik,2022-01-13 11:00:00+00:00,2022-01-13 11:45:00+00:00
VERDI,Grenaa,Sarpsborg,2022-01-13 14:00:00+00:00,2022-01-15 15:30:00+00:00
AQUA LADY,Bodø,Harstad ,2022-01-11 14:45:00+00:00,2022-01-12 19:00:00+00:00
VOHBURG,Gdynia,Oslo,2022-01-14 22:59:00+00:00,2022-01-16 12:48:00+00:00
BALTIC AMELIE,Sandnes,Håvik,2022-01-13 08:15:00+00:00,2022-01-13 12:25:00+00:00
NYVING,Årdal - Hjelmeland,Skogsvåg,2022-01-10 14:30:00+00:00,2022-01-11 05:00:00+00:00
KYRAKATINGO,Sture,Kalundborg,2022-01-16 06:48:00+00:00,2022-01-16 23:00:00+00:00
HARALD MARTIN,Stokmarknes,Dyrøyhamn,2022-01-12 17:30:00+00:00,2022-01-13 07:00:00+00:00
MAUD,Harwich,Stavanger,2022-01-12 22:59:00+00:00,2022-01-14 13:00:00+00:00
KEY EAST,Mårnesskagen Ankring,Myre-Øksnes,2022-01-13 14:00:00+00:00,2022-01-14 05:00:00+00:00
ENNY,Aabenraa,Wismar,2022-01-13 20:00:00+00:00,2022-01-14 07:45:00+00:00
RIPNES,Husøy - Karmøy,Husøy - Karmøy,2022-01-13 04:00:00+00:00,2022-01-14 05:00:00+00:00
RO FORTUNE,Tromsø,Digermulen,2022-01-12 14:30:00+00:00,2022-01-13 05:00:00+00:00
NORMAND FORTUNE,Ekofisk,Risavika,2022-01-13 23:50:00+00:00,2022-01-14 19:15:00+00:00
NACC ANTIGUA,Zonguldak,Brevik,2022-01-02 19:06:00+00:00,2022-01-17 08:00:00+00:00
NAVIGATOR PROMINENCE,Frierfjorden Ankring,Rafnes,2022-01-13 22:30:00+00:00,2022-01-13 23:00:00+00:00
REM STAR,Offshoreinst. Nordsjøen,Sløvåg Industriområde,2022-01-11 14:00:00+00:00,2022-01-11 22:00:00+00:00
WILSON LEER,Lillesand,Ramsvika,2022-01-11 15:15:00+00:00,2022-01-13 17:00:00+00:00
COMABAR,Risavika,Storesund,2022-01-11 22:00:00+00:00,2022-01-12 02:00:00+00:00
TAUPO,Kvernhusvika,Kvernhusvika,2022-01-08 21:00:00+00:00,2022-01-09 10:25:00+00:00
EIDSVAAG MARIN,Vågsfjorden,Gunhildvågen,2022-01-12 04:30:00+00:00,2022-01-12 08:00:00+00:00
CONSTANCE,Oslo,"Ukjent lokasjon, ukjent land",2022-01-16 23:24:00+00:00,2022-01-19 11:59:00+00:00
UBC CORK,Risavika,Brevik,2022-01-13 01:48:00+00:00,2022-01-13 18:00:00+00:00
GEIR TORE H,Tjeldsundet,Stokmarknes,2022-01-11 22:00:00+00:00,2022-01-12 08:45:00+00:00
NYFJELL,Bergen,Kollsnes Øst,2022-01-12 11:00:00+00:00,2022-01-12 13:00:00+00:00
SAMSKIP KVITBJORN,Mosjøen,Harstad ,2022-01-12 14:15:00+00:00,2022-01-13 09:00:00+00:00
STRIL MAR,Nordsjøen,Florø,2022-01-13 03:00:00+00:00,2022-01-13 08:00:00+00:00
HORISONT III,Kristiansand,Kristiansand,2022-01-10 08:31:00+00:00,2022-01-12 21:13:00+00:00
LEIRO,Freifjorden 1 Ankring,Helle - Forsand,2022-01-14 22:59:00+00:00,2022-01-16 19:15:00+00:00
FALKSUND,Bøvågen - Karmøy,Storesund,2022-01-13 09:00:00+00:00,2022-01-13 09:35:00+00:00
SKANDI FLORA,Stavanger,Offshoreinst. Nordsjøen,2022-01-13 11:50:00+00:00,2022-01-14 05:00:00+00:00
KADRI,Molde,Södertälje,2022-01-18 11:00:00+00:00,2022-01-21 03:00:00+00:00
UGLEN,Stavanger,Forsand,2022-01-13 12:15:00+00:00,2022-01-13 14:50:00+00:00
VIKINGBANK,Husøy - Karmøy,Nordsjøen,2022-01-13 13:00:00+00:00,2022-01-14 05:12:00+00:00
KARMSUND,Tyborøn,Oslo,2022-01-15 09:55:00+00:00,2022-01-16 18:40:00+00:00
COMABAR,Storesund,Dusavik,2022-01-13 18:00:00+00:00,2022-01-13 20:00:00+00:00
STAVANGERFJORD,Florø,Florø,2022-01-15 14:30:00+00:00,2022-01-15 15:00:00+00:00
RO FJORD,Kalvneset,Eggesbønes,2022-01-11 17:00:00+00:00,2022-01-11 21:30:00+00:00
OTTO SVERDRUP,Brønnøysund,Harstad ,2022-01-15 18:00:00+00:00,2022-01-16 12:00:00+00:00
ROHAV,Brekke,Ortnevik,2022-01-10 06:30:00+00:00,2022-01-10 08:50:00+00:00
ELBSAILOR,Bremerhaven,Kristiansand,2022-01-14 08:44:00+00:00,2022-01-15 02:10:00+00:00
OLYMPIC ENERGY,Dusavik,Sandnes,2022-01-12 12:00:00+00:00,2022-01-12 14:00:00+00:00
FJORDSTRAUM,Antwerpen,Dusavik,2022-01-12 18:30:00+00:00,2022-01-14 15:30:00+00:00
SC CONNECTOR,Risavika,Husnes,2022-01-13 05:45:00+00:00,2022-01-13 10:30:00+00:00
BELTNES,Nordenham,Breiviga,2022-01-12 18:00:00+00:00,2022-01-13 23:30:00+00:00
PEAK SAUDA,Sauda,Kvinesdal,2022-01-13 13:20:00+00:00,2022-01-14 04:20:00+00:00
HORDAFOR III,Måløy,Salthella,2022-01-11 16:30:00+00:00,2022-01-12 21:00:00+00:00
MONSUN SR,Kristiansand,Kristiansand,2022-01-09 18:00:00+00:00,2022-01-13 04:20:00+00:00
ADVANTAGE AWARD,Göteborg,Sture,2022-01-04 11:36:00+00:00,2022-01-15 02:00:00+00:00
ENERGIZER,Brevik,Rotterdam,2022-01-15 13:00:00+00:00,2022-01-16 19:00:00+00:00
NORMAND SERENADE,Offshoreinst. Nordsjøen,Mongstadbase,2022-01-13 09:20:00+00:00,2022-01-13 16:00:00+00:00
MERCATOR,Randaberg,Husøy - Karmøy,2022-01-13 11:30:00+00:00,2022-01-13 16:00:00+00:00
VERDI,Sarpsborg,"Ukjent lokasjon, ukjent land",2022-01-20 07:30:00+00:00,2022-01-23 22:59:00+00:00
HAVILA CLIPPER,Mongstadbase,Offshoreinst. Nordsjøen,2022-01-14 01:30:00+00:00,2022-01-14 14:00:00+00:00
HORDAFOR VII,Lovund,Bodø,2022-01-14 00:45:00+00:00,2022-01-14 07:15:00+00:00
SCAN TRANS,Harstad ,Rørvik,2022-01-14 06:50:00+00:00,2022-01-15 21:00:00+00:00
BRUSOYSKJAER,Træna,Tromsø,2022-01-13 23:00:00+00:00,2022-01-15 07:00:00+00:00
NORDERVEG,Skjervøy,Skagen,2022-01-11 10:18:00+00:00,2022-01-15 22:55:00+00:00
ENNY,Wismar,Trondheim,2022-01-15 09:30:00+00:00,2022-01-19 09:50:00+00:00
POLARLYS,Trondheim,Tromsø,2022-01-15 02:00:00+00:00,2022-01-16 19:00:00+00:00
STADT KINN,Dyrstad,Dyrstad,2022-01-14 17:55:00+00:00,2022-01-14 20:50:00+00:00
DINA,Kopervik,Eikefet,2022-01-15 01:05:00+00:00,2022-01-15 11:50:00+00:00
BAARDSUND ,Kopervik,Tau,2022-01-14 08:00:00+00:00,2022-01-14 10:50:00+00:00
WILSON LUGA,Sandnes,Straume,2022-01-17 17:00:00+00:00,2022-01-18 06:40:00+00:00
SCAN FJORD,Skarholmen,Botnaneset - Flora,2022-01-17 18:25:00+00:00,2022-01-18 02:15:00+00:00
FJORDKALK,Slemmestad,Brevik,2022-01-14 20:00:00+00:00,2022-01-15 06:50:00+00:00
MISANA,Husøy - Karmøy,Håvik,2022-01-15 07:57:00+00:00,2022-01-15 08:30:00+00:00
SEAGAS LOYALTY,Falkeidflæet Ankring,Kårstø,2022-01-17 00:45:00+00:00,2022-01-17 01:45:00+00:00
NEVA-LEADER 2,Lødingen Ankring,Krigsborgan,2022-01-15 05:00:00+00:00,2022-01-16 11:40:00+00:00
ANDREA,Fredrikstad,Bremerhaven,2022-01-15 16:00:00+00:00,2022-01-16 16:00:00+00:00
OSLO CARRIER 2,Fredrikstad,"Ukjent lokasjon, ukjent land",2022-01-15 15:00:00+00:00,2022-01-16 11:59:00+00:00
SEVEN VIKING,Sognefjorden,Ågotnes,2022-01-13 05:00:00+00:00,2022-01-13 12:00:00+00:00
AMAZON,Stranda,Vestnes,2022-01-12 09:00:00+00:00,2022-01-12 22:00:00+00:00
MSC ELKE F,Brevik,Larvik,2022-01-14 20:42:00+00:00,2022-01-14 22:59:00+00:00
SC CONNECTOR,Husnes,Bergen,2022-01-13 21:00:00+00:00,2022-01-14 01:45:00+00:00
NCL SVELGEN,Mo i Rana,Stokmarknes,2022-01-18 03:15:00+00:00,2022-01-18 17:10:00+00:00
SEA-CARGO EXPRESS,Storesund,Risavika,2022-01-14 00:55:00+00:00,2022-01-14 07:15:00+00:00
SEVERYANIN II,Barentshavet,Båtsfjord,2022-01-12 19:30:00+00:00,2022-01-12 22:00:00+00:00
AQUA HAVSOY,Herøy ferjekai,Tromsø,2022-01-13 00:30:00+00:00,2022-01-14 08:00:00+00:00
ENERGIZER,Fredrikstad,Brevik,2022-01-15 02:00:00+00:00,2022-01-15 04:00:00+00:00
NORMAND MAXIMUS,Hammerfest,Rypefjord,2022-01-14 09:00:00+00:00,2022-01-14 10:00:00+00:00
THUN EOS,Sandnessjøen,Slagen Ankring,2022-01-17 15:00:00+00:00,2022-01-21 20:55:00+00:00
NORTH BARENTS,Dusavik,Botnaneset - Flora,2022-01-13 14:30:00+00:00,2022-01-14 10:30:00+00:00
DINA,Skålevik,Gdynia,2022-01-16 07:30:00+00:00,2022-01-18 11:00:00+00:00
REM COMMANDER,Offshoreinst. Nordsjøen,Botnaneset - Flora,2022-01-13 13:05:00+00:00,2022-01-14 12:00:00+00:00
ROHAV,Gjermundshamn,Skogsvåg,2022-01-13 03:30:00+00:00,2022-01-13 08:30:00+00:00
SILVER PEARL,Tromsø,Ålesund,2022-01-13 21:48:00+00:00,2022-01-15 23:30:00+00:00
SC CONNECTOR,Farsund,Immingham,2022-01-15 12:50:00+00:00,2022-01-17 06:00:00+00:00
RONJA CARRIER,Testhavn Rogaland,Leirvik,2022-01-14 13:00:00+00:00,2022-01-14 19:00:00+00:00
MISANA,Bergen,Husøy - Karmøy,2022-01-15 01:30:00+00:00,2022-01-15 07:00:00+00:00
BULKNES,Great Yarmouth,Jelsa,2022-01-14 10:30:00+00:00,2022-01-15 22:10:00+00:00
STADT KINN,Florø,Dyrstad,2022-01-14 12:55:00+00:00,2022-01-14 15:00:00+00:00
360 SUPPLIER,Storesund,Yerseke,2022-01-15 13:00:00+00:00,2022-01-18 03:00:00+00:00
BORNHOLM,Randaberg,Rostock,2022-01-20 14:00:00+00:00,2022-01-22 05:00:00+00:00
SATURNUS,Mongstad,Ålesund,2022-01-17 13:20:00+00:00,2022-01-18 02:15:00+00:00
KRISTOFFER TRONDS,Stord base,Røvær,2022-01-15 04:00:00+00:00,2022-01-15 07:25:00+00:00
SUPERSPEED 1,Hirtshals,Larvik,2022-01-14 17:22:00+00:00,2022-01-14 21:15:00+00:00
SUPERSPEED 1,Larvik,Hirtshals,2022-01-14 21:00:00+00:00,2022-01-15 01:45:00+00:00
MISTRAL,København,Kristiansand,2022-01-18 22:59:00+00:00,2022-01-19 13:42:00+00:00
GEIR TORE H,Harstad ,Nordspissen - Tromsø,2022-01-13 23:30:00+00:00,2022-01-14 08:00:00+00:00
BOA SUND,Brevik,Rønne,2022-01-15 12:05:00+00:00,2022-01-18 07:00:00+00:00
SULE VIKING,Mandal,Eydehavn - Arendal,2022-01-14 16:57:00+00:00,2022-01-15 00:15:00+00:00
TENAX,Sture,Ågotnes,2022-01-14 07:15:00+00:00,2022-01-14 09:40:00+00:00
SLOTTSTEIN,Skjervøy,Barentshavet,2022-01-14 10:03:00+00:00,2022-01-14 10:30:00+00:00
SCANBIO DART,Selva,Hestvika,2022-01-14 11:30:00+00:00,2022-01-14 14:00:00+00:00
SKANDI MAROY,Risavika,Ekofisk,2022-01-14 22:00:00+00:00,2022-01-15 10:00:00+00:00
SCAN FJORD,Husøy - Karmøy,Skarholmen,2022-01-17 09:15:00+00:00,2022-01-17 15:45:00+00:00
SEA CUMULUS,Mongstad,"Ukjent lokasjon, ukjent land",2022-01-20 21:00:00+00:00,2022-01-21 08:00:00+00:00
NORDKABEL,Hanøytangen,Haugsøytangen Ankring,2022-01-14 14:15:00+00:00,2022-01-14 19:55:00+00:00
HAVILA VENUS,Bergen,Invergordon,2022-01-16 10:00:00+00:00,2022-01-17 22:59:00+00:00
THUN GAZELLE,Lysekil,Stavanger Øst,2022-01-15 06:00:00+00:00,2022-01-16 07:30:00+00:00
TROMS CASTOR,Sandnes,Sandnes,2022-01-12 08:40:00+00:00,2022-01-12 19:00:00+00:00
SHETLAND,Laksevåg,Førde,2022-01-12 23:45:00+00:00,2022-01-13 08:20:00+00:00
RO MASTER,Tomma,Herøy ferjekai,2022-01-12 13:50:00+00:00,2022-01-12 17:00:00+00:00
WITH JUNIOR,Høgset,Trondheim,2022-01-13 05:00:00+00:00,2022-01-13 10:00:00+00:00
SUPERSPEED 2,Larvik,Hirtshals,2022-01-12 15:45:00+00:00,2022-01-12 19:30:00+00:00
SCANTANK,Vikedal,Ombo,2022-01-12 19:48:00+00:00,2022-01-12 21:00:00+00:00
INTER BARENTS,Sørøysundet,Rypefjord,2022-01-12 18:25:00+00:00,2022-01-12 19:50:00+00:00
GEIR TORE H,Stokmarknes,Harstad ,2022-01-13 17:00:00+00:00,2022-01-13 22:59:00+00:00
RO VISION,Sistranda,Sistranda,2022-01-14 22:00:00+00:00,2022-01-14 22:01:00+00:00
SILVER STAR,Flem,Ellingsøy,2022-01-15 18:20:00+00:00,2022-01-15 20:25:00+00:00
HAV NORDIC,Thorshofn,Valsneset,2022-01-15 15:05:00+00:00,2022-01-18 15:10:00+00:00
WILSON FLUSHING,La Coruna,Thamshamn,2022-01-11 22:30:00+00:00,2022-01-20 06:00:00+00:00
ELBSAILOR,Brevik,Hamburg,2022-01-17 12:15:00+00:00,2022-01-18 13:00:00+00:00
EDDA FRENDE,Stavanger,Haugesund,2022-01-13 13:10:00+00:00,2022-01-13 16:30:00+00:00
ROSTEIN,Lauksundet,Uløybukt,2022-01-12 05:40:00+00:00,2022-01-12 07:15:00+00:00
ØSTERBRIS,Bergen,Nordsjøen,2022-01-16 21:00:00+00:00,2022-01-19 19:00:00+00:00
TAUPIRI,Rovde,Eggesbønes,2022-01-13 15:15:00+00:00,2022-01-13 18:00:00+00:00
SAMSKIP KVITBJORN,Tromsø,Tromsø,2022-01-14 02:30:00+00:00,2022-01-14 02:50:00+00:00
NORVIND,Arnvikneset,Follafoss,2022-01-14 00:45:00+00:00,2022-01-14 13:00:00+00:00
HORDA PIONEER,Dommersnes,Leirvik,2022-01-13 18:10:00+00:00,2022-01-13 20:10:00+00:00
HAVILA FORESIGHT,Mongstadbase,Nordsjøen,2022-01-14 00:00:00+00:00,2022-01-14 15:00:00+00:00
RO WEST,Måløy,Dale,2022-01-14 05:45:00+00:00,2022-01-14 11:00:00+00:00
RONJA MALOY,Husøy - Karmøy,Bergen,2022-01-14 03:45:00+00:00,2022-01-14 10:30:00+00:00
BOURBON MONSOON,Mongstadbase,Offshoreinst. Nordsjøen,2022-01-14 15:30:00+00:00,2022-01-14 19:30:00+00:00
CATHY JO,Verdal,Husum,2022-01-17 08:30:00+00:00,2022-01-22 03:00:00+00:00
AURORA SANDEFJORD,Mongstadbase,Kristiansund,2022-01-14 23:00:00+00:00,2022-01-16 20:30:00+00:00
WILSON GRIP,Hvide Sande,Rekefjord,2022-01-13 16:30:00+00:00,2022-01-14 13:30:00+00:00
REM ARCTIC,Dusavik,Offshoreinst. Nordsjøen,2022-01-13 16:30:00+00:00,2022-01-14 11:00:00+00:00
SKANDI VEGA,Sløvåg Industriområde,Offshoreinst. Nordsjøen,2022-01-14 17:50:00+00:00,2022-01-14 23:30:00+00:00
SJOVIK,Kristiansand,Nordsjøen,2022-01-13 08:28:00+00:00,2022-01-13 19:28:00+00:00
VOS VOYAGER,Mongstadbase,Offshore,2022-01-17 14:30:00+00:00,2022-01-18 11:00:00+00:00
REM HRIST,Dusavik,Offshoreinst. Nordsjøen,2022-01-13 14:00:00+00:00,2022-01-13 23:00:00+00:00
ISLAND VALIANT,Skålevik,Bergen,2022-01-13 15:45:00+00:00,2022-01-13 16:45:00+00:00
ROSTEIN,Øksfjord,Lauksundet,2022-01-11 23:50:00+00:00,2022-01-12 04:45:00+00:00
BOURBON MONSOON,Stavanger,Mongstadbase,2022-01-13 17:00:00+00:00,2022-01-14 07:00:00+00:00
CETUS,Storesund,Nordsjøen,2022-01-13 16:30:00+00:00,2022-01-14 08:00:00+00:00
BARENTS OCEAN,Langøya,Oslo,2022-01-13 22:00:00+00:00,2022-01-14 05:00:00+00:00
KAPITAN GERASHCHENKO,Barentshavet,Tromsø,2022-01-14 11:01:00+00:00,2022-01-14 20:00:00+00:00
HORDAFOR III,Storebø,Salthella,2022-01-13 16:00:00+00:00,2022-01-13 17:00:00+00:00
FALKVIK,Skogsvåg,Kollsnes Øst,2022-01-14 08:00:00+00:00,2022-01-14 10:35:00+00:00
WILSON GARSTON,Skålevik,Vyborg,2022-01-14 14:00:00+00:00,2022-01-19 07:00:00+00:00
LIBAS,Skogsvåg,Mangerfjorden,2022-01-14 12:30:00+00:00,2022-01-14 14:30:00+00:00
KETLIN,Stakkvik,Barentshavet,2022-01-14 11:13:00+00:00,2022-01-14 14:14:00+00:00
SATURNUS,Skålevik,Mongstad,2022-01-15 22:20:00+00:00,2022-01-16 22:00:00+00:00
AASNES,Inverness,Sløvåg,2022-01-15 21:30:00+00:00,2022-01-17 14:12:00+00:00
BRATTSKJAER,Lødingen,Barentshavet,2022-01-14 19:30:00+00:00,2022-01-15 12:00:00+00:00
SVEALAND,Svolvær,Sortland,2022-01-16 11:00:00+00:00,2022-01-16 15:15:00+00:00
COLOR CARRIER,Kiel,Oslo,2022-01-15 09:08:00+00:00,2022-01-16 05:00:00+00:00
RIGNATOR,Gunhildvågen,Trondheim,2022-01-15 10:00:00+00:00,2022-01-16 11:00:00+00:00
MORETIND,Molde,Standal,2022-01-15 12:00:00+00:00,2022-01-15 17:15:00+00:00
BB SERVER,Kristiansand,Flekkefjord,2022-01-15 15:00:00+00:00,2022-01-15 23:10:00+00:00
BERGENSFJORD,Hirtshals,Risavika,2022-01-16 19:00:00+00:00,2022-01-17 07:20:00+00:00
SIEM PRIDE,Draugen,Kristiansund,2022-01-15 17:45:00+00:00,2022-01-16 09:00:00+00:00
AQUA HAVSOY,Uløybukt,Jøkelfjord,2022-01-15 17:35:00+00:00,2022-01-15 21:00:00+00:00
ROTTINGOY,Nordsjøen,Kalvåg,2022-01-16 02:10:00+00:00,2022-01-16 07:00:00+00:00
EDDA FRENDE,Veslefrikk,Mongstadbase,2022-01-16 05:35:00+00:00,2022-01-16 12:00:00+00:00
NORMAND FERKING,Offshoreinst. Nordsjøen,Mongstadbase,2022-01-17 08:12:00+00:00,2022-01-17 16:00:00+00:00
SILLE MARIE,Barentshavet,Træna,2022-01-16 08:50:00+00:00,2022-01-17 14:00:00+00:00
EDDA FLORA,Algeciras,Killingøy,2022-01-12 17:00:00+00:00,2022-01-19 05:30:00+00:00
OCIOS IOANNIS,Mongstad,Dakar,2022-01-19 06:48:00+00:00,2022-01-29 23:00:00+00:00
NORBRIS,Drammen,Wismar,2022-01-16 20:05:00+00:00,2022-01-18 09:00:00+00:00
HAVILA JUPITER,Offshoreinst. Nordsjøen,Haugesund,2022-01-16 00:40:00+00:00,2022-01-17 20:30:00+00:00
ADRIATA,Schiedam,Drammen,2022-01-11 18:30:00+00:00,2022-01-13 19:00:00+00:00
J. BERGVOLL,Barentshavet,Honningsvåg,2022-01-16 00:00:00+00:00,2022-01-16 16:00:00+00:00
JUANITA,Mongstadbase,Offshoreinst. Nordsjøen,2022-01-15 16:00:00+00:00,2022-01-16 01:00:00+00:00
NORMAND FORTUNE,Risavika,Ekofisk,2022-01-15 19:10:00+00:00,2022-01-16 13:00:00+00:00
FEED ROGALAND,Mo i Rana,Dunkerque,2022-01-20 17:00:00+00:00,2022-01-24 21:00:00+00:00
MARTIN H,Hammerfest,Berlevåg,2022-01-15 12:00:00+00:00,2022-01-16 01:35:00+00:00
STEN NEPTUN,Kårstø,Thamesport,2022-01-20 09:10:00+00:00,2022-01-22 03:00:00+00:00
TRANSPORTER,Immingham,Fredrikstad,2022-01-15 21:00:00+00:00,2022-01-17 13:55:00+00:00
ISLAND CHALLENGER,Offshoreinst. Nordsjøen,Risavika,2022-01-15 17:00:00+00:00,2022-01-16 11:00:00+00:00
OLYMPUS,Tromsø,Tromsø,2022-01-19 14:00:00+00:00,2022-01-19 14:30:00+00:00
HAVILA TROLL,Norne,Kristiansund,2022-01-15 23:30:00+00:00,2022-01-16 15:00:00+00:00
RO WEST,Gunhildvågen,Solund,2022-01-16 05:30:00+00:00,2022-01-16 09:00:00+00:00
FALKBRIS,Straume,Stord,2022-01-17 01:05:00+00:00,2022-01-17 06:20:00+00:00
HALTBAKK BUNKER,Sørvær,Harstad ,2022-01-16 15:40:00+00:00,2022-01-17 12:00:00+00:00
SUPERSPEED 1,Hirtshals,Larvik,2022-01-16 16:30:00+00:00,2022-01-16 20:45:00+00:00
MAVKA,Harstad ,Göteborg,2022-01-17 20:00:00+00:00,2022-01-21 00:00:00+00:00
NORD TRAL,Tromsø,Barentshavet,2022-01-19 23:45:00+00:00,2022-01-20 11:01:00+00:00
TRONDS LAX,Bergen,Flatøy,2022-01-17 06:10:00+00:00,2022-01-17 07:10:00+00:00
RANA FRAKT,Mo i Rana,Orkanger,2022-01-17 12:00:00+00:00,2022-01-18 19:00:00+00:00
ASVAERFJORD,Krigsborgan,Krigsborgan,2022-01-17 12:00:00+00:00,2022-01-17 22:00:00+00:00
TEMPO,Mandal,Nordsjøen,2022-01-17 11:00:00+00:00,2022-01-17 21:00:00+00:00
EIDSVAAG POLARIS,Dyrvik,Averøy,2022-01-17 08:00:00+00:00,2022-01-17 18:40:00+00:00
LANGSUND,Vartdal,Florø,2022-01-17 19:15:00+00:00,2022-01-18 03:30:00+00:00
GREETJE,Kristiansand,Rotterdam,2022-01-21 07:50:00+00:00,2022-01-22 17:00:00+00:00
BALDER,Slemmestad,Oslo,2022-01-18 09:55:00+00:00,2022-01-18 13:30:00+00:00
BEINUR,Nordsjøen,Egersund,2022-01-17 11:00:00+00:00,2022-01-19 05:00:00+00:00
BEINUR,Egersund,Nordsjøen,2022-01-21 21:00:00+00:00,2022-01-23 17:00:00+00:00
CAPTAIN D LEMPESIS,Kvinesdal,Sauda,2022-01-21 14:20:00+00:00,2022-01-22 11:48:00+00:00
ROSTEIN,Skjervøy,Øksfjord,2022-01-11 02:35:00+00:00,2022-01-11 08:00:00+00:00
BOA BALDER,Glomfjord,Sandnessjøen,2022-01-11 17:00:00+00:00,2022-01-12 01:00:00+00:00
GASO VIKING,Dalasundet,Freifjorden 1 Ankring,2022-01-12 09:30:00+00:00,2022-01-12 11:00:00+00:00
KONGSVARD,Kopervik,Nordsjøen,2022-01-11 15:57:00+00:00,2022-01-12 06:59:00+00:00
QUO VADIS,Austevoll,Sandnessjøen,2022-01-11 14:39:00+00:00,2022-01-11 15:39:00+00:00
SILVER PEARL,Lødingen,Senjahopen,2022-01-11 18:25:00+00:00,2022-01-12 01:45:00+00:00
SUPERSPEED 2,Larvik,Hirtshals,2022-01-11 15:45:00+00:00,2022-01-11 19:30:00+00:00
