fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt
LINDO,Årdalstangen,Gudvangen,2022-01-04 05:00:00+00:00,2022-01-04 09:10:00+00:00
HAVILA JUPITER,Mongstadbase,Kristiansund,2022-01-01 15:00:00+00:00,2022-01-02 19:00:00+00:00
MAUD,Kristiansund,Bergen,2022-01-08 16:00:00+00:00,2022-01-09 11:00:00+00:00
TROMS SIRIUS,Offshoreinst. Nordsjøen,Dusavik,2022-01-03 11:00:00+00:00,2022-01-03 22:55:00+00:00
BONA SEA,Solund,Askvoll,2022-01-03 11:00:00+00:00,2022-01-03 12:40:00+00:00
SYDSTRAUM,Engene,Kambo,2022-01-05 18:40:00+00:00,2022-01-05 20:55:00+00:00
SCANBIO ELIDA,Solund,Måløy,2022-01-03 10:15:00+00:00,2022-01-03 18:50:00+00:00
LUMEN,Seljestokken,Kaliningrad,2022-01-05 01:00:00+00:00,2022-01-09 11:00:00+00:00
REESTBORG,San Ciprian,Mosjøen,2022-01-01 17:25:00+00:00,2022-01-08 19:35:00+00:00
ROSTEIN,Alta,Kvalfjord,2022-01-02 20:40:00+00:00,2022-01-02 23:30:00+00:00
PEARL SEAWAYS,Frederikshavn,Oslo,2022-01-02 22:45:00+00:00,2022-01-03 08:14:00+00:00
360 SUPPLIER,Rekefjord,Tyborøn,2022-01-02 18:00:00+00:00,2022-01-03 09:00:00+00:00
EIDSVAAG OPAL,Maursundet,Bergeneset,2022-01-02 15:30:00+00:00,2022-01-03 02:00:00+00:00
SAMSKIP KVITBJORN,Fusa,Risavika,2022-01-02 20:35:00+00:00,2022-01-03 03:55:00+00:00
LADY AYANA,Bygstad,Kaupanger,2022-01-03 04:35:00+00:00,2022-01-03 14:00:00+00:00
WATERLORD,Ålesund,Ulsteinvik,2022-01-03 04:49:00+00:00,2022-01-03 13:15:00+00:00
EAGLE BARENTS,Mongstad,Offshore,2022-01-03 15:00:00+00:00,2022-01-03 22:59:00+00:00
MISSOURIBORG,Herøya,"Ukjent lokasjon, ukjent land",2022-01-02 02:15:00+00:00,2022-01-05 10:15:00+00:00
FALKFJORD,Orkanger,Salten,2022-01-04 18:10:00+00:00,2022-01-06 09:00:00+00:00
TUNFISK,Sommarøy,Nordsjøen,2022-01-03 20:00:00+00:00,2022-01-04 11:33:00+00:00
MISIDA,Bergen,Sunndalsøra,2022-01-02 16:00:00+00:00,2022-01-03 09:00:00+00:00
HAVILA JUPITER,Bergen,Mongstadbase,2022-01-01 02:00:00+00:00,2022-01-01 07:00:00+00:00
SATURNUS,Risavika,Stavanger Øst,2022-01-02 08:00:00+00:00,2022-01-02 10:20:00+00:00
NORMAND FERKING,Sløvåg,Offshoreinst. Nordsjøen,2022-01-01 12:25:00+00:00,2022-01-02 00:00:00+00:00
HAVILA BORG,Mongstadbase,Bergen,2022-01-01 11:00:00+00:00,2022-01-01 16:00:00+00:00
WILSON WAAL,Valsneset,Trondheim Ankring,2022-01-01 09:00:00+00:00,2022-01-01 13:30:00+00:00
HOURAI MARU,Frierfjorden Ankring,Rafnes,2022-01-01 04:31:00+00:00,2022-01-01 05:30:00+00:00
VESTAVIND,Egersund,Nordsjøen,2022-01-03 18:30:00+00:00,2022-01-03 20:58:00+00:00
SLAATTERØY,Ålesund,Barentshavet,2022-01-03 20:51:00+00:00,2022-01-05 01:52:00+00:00
YEOMAN BONTRUP,Dyrstad,Amsterdam,2022-01-08 00:40:00+00:00,2022-01-10 22:30:00+00:00
ARCTIC SWAN,Barentshavet,Brattvåg,2022-01-04 00:00:00+00:00,2022-01-05 00:59:00+00:00
VIKING NEPTUN,Killingøy,Stord base,2022-01-02 12:00:00+00:00,2022-01-04 07:00:00+00:00
SAMSKIP CHALLENGER,Alvika,Hamburg,2022-01-08 13:37:00+00:00,2022-01-10 20:45:00+00:00
KEY FIGHTER,Valsneset,Fredrikstad,2022-01-07 13:30:00+00:00,2022-01-09 21:50:00+00:00
NORTH POMOR,Nordsjøen,Botnaneset - Flora,2022-01-04 18:15:00+00:00,2022-01-04 22:00:00+00:00
VIKING VENUS,Narvik,Alta,2022-01-27 17:00:00+00:00,2022-01-28 09:30:00+00:00
FJORDNES,Breiviga,Jelsa,2022-01-02 11:35:00+00:00,2022-01-02 14:05:00+00:00
FIVELBORG,Herøya,Frierfjorden Ankring,2022-01-05 06:50:00+00:00,2022-01-05 07:00:00+00:00
VESTLINER,Offshore,Tromsø,2022-01-04 00:00:00+00:00,2022-01-05 07:00:00+00:00
YARA NAUMA,Glomfjord,"Ukjent lokasjon, ukjent land",2022-01-03 07:00:00+00:00,2022-01-06 19:00:00+00:00
GOLFSTRAUM,Risavika,Risavika,2022-01-07 07:05:00+00:00,2022-01-07 07:45:00+00:00
KEY BREEZE,Stavanger Øst,Vopnafjørdur,2022-01-02 20:00:00+00:00,2022-01-05 09:00:00+00:00
FITNES,Dirdal,Dirdal,2022-01-01 19:00:00+00:00,2022-01-01 19:50:00+00:00
PRESTFJORD,Sortland,Barentshavet,2022-01-05 19:00:00+00:00,2022-01-06 04:00:00+00:00
SVEALAND,Tromsø,Bergeneset,2022-01-03 22:59:00+00:00,2022-01-04 02:00:00+00:00
VERMLAND,Storesund,Storesund,2022-01-04 06:00:00+00:00,2022-01-04 06:25:00+00:00
AUSEKLIS,Hammerfest,Tromsø,2022-01-04 13:05:00+00:00,2022-01-05 08:00:00+00:00
HERMAS,Kambo,Sandnes,2022-01-08 14:00:00+00:00,2022-01-09 15:30:00+00:00
RO MASTER,Lovund,Herøy ferjekai,2022-01-04 12:10:00+00:00,2022-01-04 15:00:00+00:00
BAL BULK,Halden,Horsens,2022-01-05 12:00:00+00:00,2022-01-06 17:00:00+00:00
GOLFSTRAUM,Mongstadbase,Teesport,2022-01-11 22:30:00+00:00,2022-01-13 10:00:00+00:00
NORTH SEA GIANT,Offshore,Randaberg,2022-01-01 13:30:00+00:00,2022-01-02 19:30:00+00:00
NORHOLM,Porsgrunn,Herre,2022-01-12 14:10:00+00:00,2022-01-12 15:20:00+00:00
NORMAND NALEY,Botnaneset - Flora,Offshoreinst. Nordsjøen,2022-01-01 14:25:00+00:00,2022-01-01 20:00:00+00:00
SILVER STAR,Alvika,Ålesund,2022-01-02 02:00:00+00:00,2022-01-02 03:00:00+00:00
SCANBIO DART,Rørvik,Myre-Øksnes,2022-01-01 07:20:00+00:00,2022-01-02 16:00:00+00:00
