fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt,dep_lat,dep_lon,arr_lat,arr_lon
BERGEN STAR,Måløy,Ålesund,2022-01-08 08:00:00+00:00,2022-01-08 12:30:00+00:00,61.9336888,5.1129133,62.4802363,6.5550739
STRIL PIONER,Stavanger,Risavika,2022-01-08 05:00:00+00:00,2022-01-08 08:00:00+00:00,58.9699675,5.7318101,58.9266035,5.598135
HAVILA BORG,Botnaneset - Flora,Mongstadbase,2022-01-07 19:00:00+00:00,2022-01-08 05:00:00+00:00,61.6079804,5.0674224,,
AMALIE,Kristiansund,Mongstadbase,2022-01-08 01:45:00+00:00,2022-01-08 23:30:00+00:00,63.2168194,7.545259,,
VAITERE 2,Bodø,Harstad ,2022-01-07 14:50:00+00:00,2022-01-08 13:00:00+00:00,67.3094783,13.915442,,
SKANDI BARRA,Tananger,Dusavik,2022-01-08 09:15:00+00:00,2022-01-08 10:45:00+00:00,58.9359135,5.5864225,58.9971222,5.6656063
HOLMOY,Barentshavet,Sortland,2022-01-08 08:00:00+00:00,2022-01-09 23:05:00+00:00,74.3478217,37.809937,68.767296,15.3679179
TRANSPORTER,Immingham,Fredrikstad,2022-01-08 16:00:00+00:00,2022-01-10 06:00:00+00:00,53.6159963,-0.2136727,59.1862012,10.8680241
NCL HAUGESUND,Måløy,Amsterdam,2022-01-10 18:20:00+00:00,2022-01-12 22:00:00+00:00,61.9336888,5.1129133,52.3730796,4.8924534
HAGLAND BOSS,Sandeid,Laksevåg,2022-01-08 18:30:00+00:00,2022-01-09 06:25:00+00:00,59.5438719,5.8652667,60.3648046,5.2218609
NORDKAPP,Bergen,Kirkenes,2022-01-08 19:30:00+00:00,2022-01-14 08:00:00+00:00,60.3943055,5.3259192,69.7271478,30.0448971
ELDBORG,Sløvåg Industriområde,Mongstadbase,2022-01-08 17:30:00+00:00,2022-01-08 18:20:00+00:00,,,,
HORDAFOR II,Tromsø,Tromsø,2022-01-07 15:00:00+00:00,2022-01-07 15:30:00+00:00,69.6516345,18.9558585,69.6516345,18.9558585
BERGEN LNG,Botnaneset - Flora,Høyanger,2022-01-09 12:30:00+00:00,2022-01-09 21:00:00+00:00,61.6079804,5.0674224,61.1254821,5.8141394
HARALD MARTIN,Melbu,Stokmarknes,2022-01-09 14:05:00+00:00,2022-01-09 16:00:00+00:00,36.6403282,5.3626372,68.5670003,14.9133484
SUPERSPEED 2,Hirtshals,Larvik,2022-01-09 16:30:00+00:00,2022-01-09 20:15:00+00:00,57.5908031,9.9649737,59.0967308,10.02193
NORBRIS,Storesund,Rostock,2022-01-09 19:30:00+00:00,2022-01-11 17:00:00+00:00,60.316757,4.984269,54.0886707,12.1400211
AURORA EXPLORER,Tromsø,Tromsø,2022-01-09 18:00:00+00:00,2022-01-09 21:55:00+00:00,69.6516345,18.9558585,69.6516345,18.9558585
SKANDI MONGSTAD,Offshoreinst. Nordsjøen,Mongstadbase,2022-01-09 19:00:00+00:00,2022-01-10 03:30:00+00:00,,,,
CHARISMA,Selje,Lerwick,2022-01-09 20:45:00+00:00,2022-01-10 15:00:00+00:00,62.044272,5.3474511,60.1531357,-1.1427296
RONJA KVALOY,Steinsvika - Volda,Rutletangen,2022-01-10 02:25:00+00:00,2022-01-10 15:00:00+00:00,62.0045009,5.8533506,61.08333,5.16667
STADT KINN,Hermansverk,Florø,2022-01-10 06:05:00+00:00,2022-01-10 15:10:00+00:00,61.1828937,6.8521849,61.6002583,5.0349596
WILSON AVILES,Gudvangen,Klaipeda,2022-01-14 20:00:00+00:00,2022-01-17 07:00:00+00:00,60.8791085,6.8396298,55.7127529,21.1350469
NYFJELL,Kristiansand,Breiviga,2022-01-10 12:00:00+00:00,2022-01-11 01:00:00+00:00,58.0856276,7.931858,58.0329342,7.2553761
STRIL MERKUR,Nordsjøen,Ågotnes,2022-01-10 10:00:00+00:00,2022-01-10 17:30:00+00:00,56.00276,3.000129,60.4042983,5.0024982
GEIR TORE H,Kobbvågen,Lødingen,2022-01-10 13:30:00+00:00,2022-01-11 05:45:00+00:00,66.3981,12.815781,68.3944357,15.6096557
AURORA EXPLORER,Tromsø,Tromsø,2022-01-10 18:00:00+00:00,2022-01-10 21:48:00+00:00,69.6516345,18.9558585,69.6516345,18.9558585
HORDAFOR VII,Brettesnes,Bodø,2022-01-11 11:35:00+00:00,2022-01-11 19:00:00+00:00,68.2328859,14.8462703,67.3094783,13.915442
PIONEER KNUTSEN,Sunndalsøra,Kollsnes Øst,2022-01-11 01:00:00+00:00,2022-01-12 06:00:00+00:00,62.6568743,8.6810432,,
IMPERATOR,Den Helder,Hausvikstrand,2022-01-11 02:30:00+00:00,2022-01-12 12:10:00+00:00,52.9529894,4.8267592,58.0411441,6.9850481
NORVIND,Holla,Malo,2022-01-11 07:50:00+00:00,2022-01-11 18:10:00+00:00,-24.2258,29.8475,45.660296,11.407493
EIDSVAAG POLARIS,Dyrvik,Averøy,2022-01-10 20:15:00+00:00,2022-01-11 05:20:00+00:00,63.7571396,8.8218824,63.1371204,7.4323066
MERCATOR,Ørsta,Åheim,2022-01-11 02:10:00+00:00,2022-01-11 05:30:00+00:00,62.2470538,6.2859368,62.0360845,5.5306672
NOKASA,Ålesund,Brattvåg,2022-01-11 03:30:00+00:00,2022-01-11 05:30:00+00:00,62.4802363,6.5550739,62.599812,6.444248
AURORA EXPLORER,Tromsø,Tromsø,2022-01-11 08:00:00+00:00,2022-01-11 15:01:00+00:00,69.6516345,18.9558585,69.6516345,18.9558585
KONGSBORG,Averøy,Vestbase,2022-01-11 09:55:00+00:00,2022-01-11 10:40:00+00:00,63.1371204,7.4323066,63.1059452,7.7994389
ANDREA,Hamburg,Oslo,2022-01-13 00:00:00+00:00,2022-01-14 03:00:00+00:00,53.550341,10.000654,59.9133301,10.7389701
FALKSEA,Ålesund,Runavik,2022-01-11 12:40:00+00:00,2022-01-13 21:00:00+00:00,62.4802363,6.5550739,62.1083979,-6.7216674
DINA STAR,Offshore,Dusavik,2022-01-07 23:00:00+00:00,2022-01-12 21:00:00+00:00,33.5762077,-117.8266011,58.9971222,5.6656063
NORMAND SUN,Offshoreinst. Nordsjøen,Dusavik,2022-01-11 20:00:00+00:00,2022-01-12 04:00:00+00:00,,,58.9971222,5.6656063
SJOBORG,Offshoreinst. Barentshavet,Rypefjord,2022-01-11 12:45:00+00:00,2022-01-12 07:00:00+00:00,,,70.6412939,23.6718242
NORNE,Steinkjer,Thamshamn,2022-01-12 00:45:00+00:00,2022-01-12 07:20:00+00:00,64.050737,11.481909,63.3186334,9.8765769
BERGENSFJORD,Hirtshals,Risavika,2022-01-11 19:00:00+00:00,2022-01-12 07:00:00+00:00,57.5908031,9.9649737,58.9266035,5.598135
NORBAR ,Dusavik,Storesund,2022-01-11 18:00:00+00:00,2022-01-11 21:00:00+00:00,58.9971222,5.6656063,60.316757,4.984269
SCANBIO DART,Lysøysund,Uthaug,2022-01-10 03:35:00+00:00,2022-01-10 06:10:00+00:00,63.8851521,9.8733154,63.7257243,9.5993996
NCL SVELGEN,Averøy,Orkanger,2022-01-16 08:25:00+00:00,2022-01-16 14:20:00+00:00,63.1371204,7.4323066,63.304819,9.8496676
ROSLAGEN,Knarrevik,Blomvåg,2022-01-11 10:10:00+00:00,2022-01-11 12:20:00+00:00,60.3713675,5.1556226,60.5297492,4.8760581
FRAM,Göteborg,Larvik,2022-01-12 03:00:00+00:00,2022-01-12 16:00:00+00:00,57.7072326,11.9670171,59.0967308,10.02193
STRIL MERMAID,Offshoreinst. Nordsjøen,Risavika,2022-01-11 15:10:00+00:00,2022-01-12 07:00:00+00:00,,,58.9266035,5.598135
TERN SEA,Tromsø,Rypefjord,2022-01-13 12:10:00+00:00,2022-01-13 20:45:00+00:00,69.6516345,18.9558585,70.6412939,23.6718242
SVARTFOSS,Grimsby,Husøy - Karmøy,2022-01-13 01:00:00+00:00,2022-01-14 05:00:00+00:00,53.5671407,-0.0788045,59.3403428,5.3070642
ISLAND CRUSADER,Tananger,Offshoreinst. Nordsjøen,2022-01-11 22:30:00+00:00,2022-01-12 14:00:00+00:00,58.9359135,5.5864225,,
SANDNES,Jelsa,Amsterdam,2022-01-13 21:40:00+00:00,2022-01-15 22:00:00+00:00,43.1608097,16.6931431,52.3730796,4.8924534
KRISTOFFER TRONDS,Sunde,Stord base,2022-01-12 17:25:00+00:00,2022-01-12 19:40:00+00:00,59.8359038,5.7114821,,
BB CONNECTOR,Fredrikstad,Horten Indre Havn,2022-01-11 13:00:00+00:00,2022-01-11 18:15:00+00:00,59.1862012,10.8680241,59.4225624,10.4752604
VAITERE 2,Hasvik,Akkarfjord,2022-01-12 00:30:00+00:00,2022-01-12 05:00:00+00:00,70.6328945,22.115764,70.0521113,20.4918903
TEMPO,Nordsjøen,Mandal,2022-01-12 01:30:00+00:00,2022-01-12 06:00:00+00:00,56.00276,3.000129,58.0268181,7.4534802
FERRO,Murmansk,Grundartangi,2022-01-11 01:00:00+00:00,2022-01-17 23:00:00+00:00,68.970665,33.07497,64.3601585,-21.7841266
JSP SKIRNER,Ålesund,Måløy,2022-01-14 13:40:00+00:00,2022-01-14 19:20:00+00:00,62.4802363,6.5550739,61.9336888,5.1129133
HAGLAND CAPTAIN,Skogn,Eidsnes,2022-01-10 22:59:00+00:00,2022-01-12 03:00:00+00:00,63.7038577,11.1923998,62.4281585,6.315123
MELKART 5,Barentshavet,Båtsfjord,2022-01-12 08:00:00+00:00,2022-01-12 09:51:00+00:00,74.3478217,37.809937,70.6142761,30.3274063
SAMSKIP KVITBJORN,Valsneset,Trondheim,2022-01-11 07:20:00+00:00,2022-01-11 10:55:00+00:00,63.820758,9.636737,63.4304475,10.3952118
SEA-CARGO EXPRESS,Risavika,Aberdeen,2022-01-14 19:00:00+00:00,2022-01-15 14:00:00+00:00,58.9266035,5.598135,57.1482429,-2.0928095
WILSON HUSUM,Mo i Rana,Glomfjord,2022-01-15 11:00:00+00:00,2022-01-18 11:00:00+00:00,66.3110969,14.1386991,66.8122881,13.9493751
VESTERALEN,Kirkenes,Harstad ,2022-01-11 11:30:00+00:00,2022-01-13 07:00:00+00:00,69.7271478,30.0448971,,
IMI,Moerdijk,Voll - Skien,2022-01-11 00:05:00+00:00,2022-01-13 15:05:00+00:00,51.6627723,4.5255922,59.1276169,9.5069937
TEMPO,Nordsjøen,Mandal,2022-01-08 01:30:00+00:00,2022-01-09 01:00:00+00:00,56.00276,3.000129,58.0268181,7.4534802
VÅGSUND,Bjordal,Torangsvåg,2022-01-08 23:04:00+00:00,2022-01-09 09:00:00+00:00,61.0762712,5.8300862,60.1135893,5.1533597
PATNOS,Oslo,Mongstad,2022-01-11 21:00:00+00:00,2022-01-13 14:00:00+00:00,59.9133301,10.7389701,60.797934,5.011611
POLAR TUG,Sandnessjøen,Tonnes,2022-01-08 23:00:00+00:00,2022-01-10 06:00:00+00:00,66.0215451,12.6317232,66.5137635,13.0143189
AQUA FJORD,Florø,Halsa Meløy,2022-01-10 03:00:00+00:00,2022-01-12 09:00:00+00:00,61.6002583,5.0349596,66.7437179,13.5771741
ROSLAGEN,Sløvåg Industriområde,Knarrevik,2022-01-09 21:35:00+00:00,2022-01-10 05:30:00+00:00,,,60.3713675,5.1556226
EDDA FRENDE,Risavika,Stavanger,2022-01-10 08:30:00+00:00,2022-01-10 10:30:00+00:00,58.9266035,5.598135,58.9699675,5.7318101
NORMAND FERKING,Offshoreinst. Nordsjøen,Ågotnes,2022-01-10 00:35:00+00:00,2022-01-10 10:00:00+00:00,,,60.4042983,5.0024982
RO WEST,Vågsfjorden,Svelgen,2022-01-09 15:45:00+00:00,2022-01-09 17:45:00+00:00,68.9470477,16.9622026,61.7683359,5.2906103
RO WEST,Svelgen,Vågsfjorden,2022-01-09 19:00:00+00:00,2022-01-09 21:05:00+00:00,61.7683359,5.2906103,68.9470477,16.9622026
HAGLAND SAGA,Den Helder,Hausvikstrand,2022-01-10 08:00:00+00:00,2022-01-11 11:00:00+00:00,52.9529894,4.8267592,58.0411441,6.9850481
SPAR PYXIS,Narvik,Bremen,2022-01-14 03:15:00+00:00,2022-01-17 11:00:00+00:00,68.4383796,17.4271978,53.0758196,8.8071646
KEGUMS,St Petersburg,Holmestrand,2022-01-08 12:40:00+00:00,2022-01-12 01:00:00+00:00,59.9606739,30.1586551,59.5591252,10.1531702
NORTH POMOR,Nordsjøen,Botnaneset - Flora,2022-01-10 11:00:00+00:00,2022-01-10 15:00:00+00:00,56.00276,3.000129,61.6079804,5.0674224
VIKTORIA LADY,Bogøy,Harstad ,2022-01-10 15:00:00+00:00,2022-01-11 01:00:00+00:00,67.9032889,15.1831418,,
REM COMMANDER,Dusavik,Offshoreinst. Nordsjøen,2022-01-10 11:45:00+00:00,2022-01-11 00:00:00+00:00,58.9971222,5.6656063,,
SEARAY,St Petersburg,Oslo,2022-01-08 13:06:00+00:00,2022-01-12 07:25:00+00:00,59.9606739,30.1586551,59.9133301,10.7389701
WILSON MAAS,Egersund,Stavanger Øst,2022-01-11 23:30:00+00:00,2022-01-12 17:30:00+00:00,58.4515121,6.0007554,58.9694029,5.7579687
HAVTIND,Rypefjord,Tromsø,2022-01-10 16:30:00+00:00,2022-01-11 05:00:00+00:00,70.6412939,23.6718242,69.6516345,18.9558585
ZUZANNA,Holmestrand,Horten Indre Havn,2022-01-10 19:10:00+00:00,2022-01-10 20:20:00+00:00,59.5591252,10.1531702,59.4225624,10.4752604
JSP SKIRNER,Ikornnes,Ålesund,2022-01-13 06:45:00+00:00,2022-01-13 09:00:00+00:00,62.3847263,6.5554555,62.4802363,6.5550739
SIDDIS MARINER,Offshoreinst Halten-Helgeland,Kristiansund,2022-01-10 21:00:00+00:00,2022-01-11 04:00:00+00:00,,,63.2168194,7.545259
SIDDIS SAILOR,Mongstadbase,Bergen,2022-01-10 22:45:00+00:00,2022-01-11 04:00:00+00:00,,,60.3943055,5.3259192
BAARDSUND ,Skogsvåg,Omastranda,2022-01-09 17:25:00+00:00,2022-01-10 02:15:00+00:00,60.2617323,5.110015,60.2170104,5.9716822
HORDAFOR III,Vigra,Averøy,2022-01-09 16:00:00+00:00,2022-01-09 20:20:00+00:00,62.5592381,6.0832,63.1371204,7.4323066
HALTBAKK BUNKER,Fjelldal,Harstad ,2022-01-11 07:35:00+00:00,2022-01-11 09:00:00+00:00,68.5560252,16.5260596,,
DUBLIN EAGLE,Sauda,Riga,2022-01-18 06:40:00+00:00,2022-01-20 11:00:00+00:00,59.704566,6.4620938,56.9493977,24.1051846
WILSON AVONMOUTH,Mosjøen,Lillebukt,2022-01-17 15:10:00+00:00,2022-01-19 13:00:00+00:00,65.8375342,13.1892098,70.2636777,22.6204722
SAMSKIP KVITBJORN,Alvika,Ålesund,2022-01-10 15:35:00+00:00,2022-01-10 16:20:00+00:00,62.4845396,6.403646,62.4802363,6.5550739
MORETIND,Haddal,Standal,2022-01-10 11:00:00+00:00,2022-01-10 14:30:00+00:00,62.2820861,5.8688698,61.512455,5.223407
STORNES,Elnesvågen,Lessremman,2022-01-12 00:00:00+00:00,2022-01-12 19:00:00+00:00,62.8533303,7.1550965,,
RYPEFJORD,Barentshavet,Båtsfjord,2022-01-10 23:00:00+00:00,2022-01-11 01:00:00+00:00,74.3478217,37.809937,70.6142761,30.3274063
LADY HEDWIG,Arkhangelsk,Tromsø Reden,2022-01-07 19:10:00+00:00,2022-01-12 00:00:00+00:00,64.543022,40.537121,,
VIKNATRANS,Lekaflaket Ankring,Ottersøy,2022-01-10 13:30:00+00:00,2022-01-10 18:00:00+00:00,,,64.857639,11.287902
BB COASTER,Kårstø,Jelsa,2022-01-10 16:20:00+00:00,2022-01-10 18:30:00+00:00,59.279274,5.524468,43.1608097,16.6931431
MERCATOR,Sykkylven,Ørsta,2022-01-10 17:40:00+00:00,2022-01-10 21:00:00+00:00,62.3430581,6.6090367,62.2470538,6.2859368
GASO JARL,Vevang,Sandstad,2022-01-11 01:00:00+00:00,2022-01-11 05:00:00+00:00,63.0048974,7.2956551,63.5247427,9.1040585
ROSTEIN,Kvalfjord,Skjervøy,2022-01-10 19:25:00+00:00,2022-01-11 01:35:00+00:00,64.9036244,11.0522674,70.1709973,20.6989897
HORDA PIONEER,Rubbestadneset,Sævareid,2022-01-10 22:15:00+00:00,2022-01-11 01:20:00+00:00,59.8155882,5.2680891,60.1903451,5.7618211
AASLI,Puttgarden,Mandal,2022-01-10 21:00:00+00:00,2022-01-12 06:00:00+00:00,54.4964975,11.2121117,58.0268181,7.4534802
SVEASUND,Tromsø,Bergeneset,2022-01-10 20:20:00+00:00,2022-01-10 23:50:00+00:00,69.6516345,18.9558585,69.2367639,19.3599972
JSP SKIRNER,Bergen,Florø,2022-01-11 19:00:00+00:00,2022-01-12 02:00:00+00:00,60.3943055,5.3259192,61.6002583,5.0349596
BJUGNFJORD,Glatved Strand,Horsens,2022-01-09 18:00:00+00:00,2022-01-11 03:00:00+00:00,56.3040521,10.8615819,55.8611696,9.8444774
NORTH POMOR,Florø,Florø,2022-01-11 00:00:00+00:00,2022-01-11 01:00:00+00:00,61.6002583,5.0349596,61.6002583,5.0349596
THUN EOS,Slagen Ankring,Slagentangen,2022-01-11 10:00:00+00:00,2022-01-11 10:40:00+00:00,,,59.3155488,10.5271409
PEAK SAUDA,Tyssedal,Sauda,2022-01-11 22:45:00+00:00,2022-01-12 15:30:00+00:00,60.1163142,6.5590922,59.704566,6.4620938
NAUTILUS,Kristiansand,Risavika,2022-01-14 13:35:00+00:00,2022-01-15 05:40:00+00:00,58.0856276,7.931858,58.9266035,5.598135
BAARDSUND ,Omastranda,Leirvik,2022-01-10 08:10:00+00:00,2022-01-10 12:00:00+00:00,60.2170104,5.9716822,59.7809398,5.5005712
LONNINGEN,Ålesund,Sandnessjøen,2022-01-11 10:07:00+00:00,2022-01-12 12:00:00+00:00,62.4802363,6.5550739,66.0215451,12.6317232
ICE,Tromsø,Sortland,2022-01-07 11:00:00+00:00,2022-01-07 19:15:00+00:00,69.6516345,18.9558585,68.767296,15.3679179
JSP SLEIPNER,Risavika,Fusa,2022-01-08 17:30:00+00:00,2022-01-09 09:00:00+00:00,58.9266035,5.598135,35.737188,139.334682
BB WORKER,Stavanger,Skagen,2022-01-07 15:10:00+00:00,2022-01-08 14:30:00+00:00,58.9699675,5.7318101,57.7259703,10.5844602
BOXER,Fredrikstad,Larvik,2022-01-05 13:30:00+00:00,2022-01-05 18:30:00+00:00,59.1862012,10.8680241,59.0967308,10.02193
COOPER VIKING,Dusavik,Offshoreinst. Nordsjøen,2022-01-07 19:00:00+00:00,2022-01-08 05:00:00+00:00,58.9971222,5.6656063,,
FALKVIK,Kollsnes Øst,Sævlandsvik,2022-01-07 18:30:00+00:00,2022-01-08 08:15:00+00:00,,,,
NYKSUND,Trondheim,Sistranda,2022-01-08 12:00:00+00:00,2022-01-08 16:00:00+00:00,63.4304475,10.3952118,63.7301981,8.8297021
BOURBON MONSOON,Risavika,Valhall,2022-01-08 09:00:00+00:00,2022-01-09 01:00:00+00:00,58.9266035,5.598135,56.2856442,12.8428699
PIRHOLM,Torangsvåg,Husøy - Karmøy,2022-01-07 23:50:00+00:00,2022-01-08 07:15:00+00:00,60.1135893,5.1533597,59.3403428,5.3070642
JSP SKIRNER,Risavika,Husøy - Karmøy,2022-01-10 10:40:00+00:00,2022-01-10 13:30:00+00:00,58.9266035,5.598135,59.3403428,5.3070642
SUNBEAM,Fraserburgh,Skudeneshavn,2022-01-06 11:45:00+00:00,2022-01-09 07:40:00+00:00,57.6935974,-2.0051497,59.1497472,5.2581715
HANNAH KRISTINA,Skålevik,Botnaneset - Flora,2022-01-09 11:00:00+00:00,2022-01-09 18:00:00+00:00,58.0808745,8.0174893,61.6079804,5.0674224
SVEALAND,Bergen,Husøy - Karmøy,2022-01-08 12:30:00+00:00,2022-01-08 19:45:00+00:00,60.3943055,5.3259192,59.3403428,5.3070642
FALKSUND,Flatøy,Helle - Forsand,2022-01-08 21:35:00+00:00,2022-01-09 11:45:00+00:00,60.5400595,5.2632986,58.8628,6.14924
INGRID MAJALA,Nord-Atlanteren,Træna,2022-01-08 19:42:00+00:00,2022-01-09 01:00:00+00:00,40.0,-40.0,66.5571596,11.9193084
KLEVSTRAND,Tyborøn,Grimsby,2022-01-03 18:20:00+00:00,2022-01-06 05:10:00+00:00,55.6877306,12.4743557,53.5671407,-0.0788045
HORDAFOR II,Djupvik,Tromsø,2022-01-06 02:30:00+00:00,2022-01-07 07:30:00+00:00,58.8240625,16.3260054,69.6516345,18.9558585
BERGENSFJORD,Langesund,Hirtshals,2022-01-09 12:55:00+00:00,2022-01-09 18:00:00+00:00,59.000697,9.7484437,57.5908031,9.9649737
SAYAN PRINCE,Stavanger,Risavika,2022-01-10 14:00:00+00:00,2022-01-10 16:00:00+00:00,58.9699675,5.7318101,58.9266035,5.598135
ISLAND CHIEFTAIN,Offshoreinst. Nordsjøen,Averøy,2022-01-09 15:20:00+00:00,2022-01-09 19:20:00+00:00,,,63.1371204,7.4323066
GÅSØ FREYJA,Skålevik,Atløy,2022-01-09 17:00:00+00:00,2022-01-10 00:00:00+00:00,58.0808745,8.0174893,61.3429527,4.9815763
NANNA CECILIE,Nordsjøen,Husøy - Karmøy,2022-01-09 17:00:00+00:00,2022-01-10 00:00:00+00:00,56.00276,3.000129,59.3403428,5.3070642
KLEVSTRAND,Herøya,Oslo,2022-01-10 18:40:00+00:00,2022-01-11 06:00:00+00:00,60.1031064,10.3180849,59.9133301,10.7389701
PETROTRANS-5905,Sløvåg Industriområde,Kaliningrad,2022-01-12 11:00:00+00:00,2022-01-17 11:00:00+00:00,,,54.710128,20.5105838
HOVDEN VIKING,Måløy,Nordsjøen,2022-01-10 03:45:00+00:00,2022-01-10 09:00:00+00:00,61.9336888,5.1129133,56.00276,3.000129
ZEUS,Antwerpen,Glomfjord,2022-01-07 06:00:00+00:00,2022-01-12 13:00:00+00:00,51.2211097,4.3997081,66.8122881,13.9493751
SEASTAR,Mongstad,Trieste,2022-01-14 00:00:00+00:00,2022-01-19 11:00:00+00:00,60.797934,5.011611,45.6496485,13.7772781
NYVING,Kvitsøy,Årdal - Hjelmeland,2022-01-10 09:10:00+00:00,2022-01-10 12:00:00+00:00,59.0084193,5.2813125,59.1508412,6.1811957
DORIS,Elnesvågen,Moerdijk,2022-01-12 15:10:00+00:00,2022-01-15 07:00:00+00:00,62.8533303,7.1550965,51.6627723,4.5255922
FERROMAR,Sauda,Raahe (brahestad),2022-01-14 16:40:00+00:00,2022-01-19 15:00:00+00:00,59.704566,6.4620938,64.6202501,24.252995
KRISTIANSUND,Freifjorden 1 Ankring,Sandstad,2022-01-10 19:10:00+00:00,2022-01-11 01:00:00+00:00,,,63.5247427,9.1040585
EDDA FAUNA,Offshoreinst. Nordsjøen,Risavika,2022-01-13 00:30:00+00:00,2022-01-13 07:00:00+00:00,,,58.9266035,5.598135
CABAL,Tomma,Vikan - Bodø,2022-01-11 05:05:00+00:00,2022-01-11 14:15:00+00:00,66.2566165,12.8006542,67.299575,14.6886582
MANON,Bøneset - Karmøy,Skagen,2022-01-11 08:00:00+00:00,2022-01-12 05:00:00+00:00,59.36847,5.29295,57.7259703,10.5844602
HORDAFOR IV,Torsken,Tromsø,2022-01-07 20:50:00+00:00,2022-01-08 10:30:00+00:00,69.3520444,17.0457813,69.6516345,18.9558585
MERCATOR,Rekefjord,Stranda,2022-01-08 02:00:00+00:00,2022-01-09 18:00:00+00:00,58.3393981,6.260425,62.1678462,6.9302137
NORMAND FERKING,Sløvåg Industriområde,Mongstad,2022-01-08 03:30:00+00:00,2022-01-08 04:30:00+00:00,,,60.797934,5.011611
STEINAR OLAISEN,Sandnessjøen,Lovund,2022-01-07 06:30:00+00:00,2022-01-07 14:20:00+00:00,66.0215451,12.6317232,66.3637329,12.3383562
NORJARL,Helsingborg,Åmøyfjorden,2022-01-08 02:30:00+00:00,2022-01-09 09:35:00+00:00,56.0442098,12.703706,59.0112521,5.6869373
SOGN,Jondal,Sunde,2022-01-08 07:50:00+00:00,2022-01-08 11:00:00+00:00,38.8655106,1.3222848,59.8359038,5.7114821
B GAS MAUD,Falkeidflæet Ankring,Kårstø,2022-01-09 10:24:00+00:00,2022-01-09 11:30:00+00:00,,,59.279274,5.524468
VAITERE 2,Harstad ,Tromsø,2022-01-08 15:40:00+00:00,2022-01-09 03:00:00+00:00,,,69.6516345,18.9558585
AQUA HAVSOY,Uløybukt,Jøkelfjord,2022-01-08 18:30:00+00:00,2022-01-08 22:00:00+00:00,69.8595127,20.6842726,70.0603392,21.8675854
KARMSUND,Storesund,Eemshaven,2022-01-09 14:34:00+00:00,2022-01-11 15:00:00+00:00,60.316757,4.984269,53.4484736,6.8499627
NORBRIS,Bjoa,Eikelandsosen,2022-01-09 04:20:00+00:00,2022-01-09 08:40:00+00:00,59.664878,5.6428277,60.2407343,5.7450954
RIPNES,Husøy - Karmøy,Storesund,2022-01-09 07:00:00+00:00,2022-01-09 08:45:00+00:00,59.3403428,5.3070642,60.316757,4.984269
KYST,Årstein-Gratangen,Blokken,2022-01-09 08:50:00+00:00,2022-01-09 17:00:00+00:00,68.7352629,17.4181364,73.8,-24.5383333
EDDA FERD,Kristiansund,Offshoreinst. Nordsjøen,2022-01-09 12:00:00+00:00,2022-01-09 19:00:00+00:00,63.2168194,7.545259,,
ARKHANGELSK,Kirkenes,Barentshavet,2022-01-09 19:53:00+00:00,2022-01-09 22:50:00+00:00,69.7271478,30.0448971,74.3478217,37.809937
STEINEVIK,Skagen,Byggnes - Karmøy,2022-01-09 14:38:00+00:00,2022-01-10 08:30:00+00:00,57.7259703,10.5844602,59.3005787,5.3017922
BORE BAY,Risavika,Rotterdam,2022-01-11 18:50:00+00:00,2022-01-13 06:40:00+00:00,58.9266035,5.598135,51.9244424,4.47775
BØMMELFJORD,Eidesvik,Byggnes - Karmøy,2022-01-09 17:10:00+00:00,2022-01-09 19:00:00+00:00,59.5987785,5.1915205,59.3005787,5.3017922
BRATTSKJAER,Å i Lofoten,Barentshavet,2022-01-09 17:26:00+00:00,2022-01-11 14:00:00+00:00,67.880227,12.978579,74.3478217,37.809937
BAUS,Horten Indre Havn,Drammen,2022-01-09 19:45:00+00:00,2022-01-09 22:45:00+00:00,59.4225624,10.4752604,59.6964936,10.175642
ASVAERFJORD,Ottersøy,Ottersøy,2022-01-10 06:00:00+00:00,2022-01-10 19:00:00+00:00,64.857639,11.287902,64.857639,11.287902
FEED STAVANGER,Mo i Rana,Glomfjord,2022-01-11 15:50:00+00:00,2022-01-12 00:15:00+00:00,66.3110969,14.1386991,66.8122881,13.9493751
VOS PIONEER,Offshore,Mongstadbase,2022-01-11 14:00:00+00:00,2022-01-13 06:25:00+00:00,33.5762077,-117.8266011,,
ISLAND CONTENDER,Offshoreinst. Nordsjøen,Risavika,2022-01-10 13:00:00+00:00,2022-01-11 03:00:00+00:00,,,58.9266035,5.598135
MERCATOR,Stranda,Sykkylven,2022-01-10 10:20:00+00:00,2022-01-10 13:00:00+00:00,62.1678462,6.9302137,62.3430581,6.6090367
RO FJORD,Larsnes,Kalvneset,2022-01-09 13:00:00+00:00,2022-01-09 19:05:00+00:00,62.2068371,5.5716078,61.600292,5.015865
KONGSBORG,Offshoreinst. Nordsjøen,Averøy,2022-01-10 11:05:00+00:00,2022-01-11 01:10:00+00:00,,,63.1371204,7.4323066
WILSON GDYNIA,Stettin,Byggnes - Karmøy,2022-01-08 13:00:00+00:00,2022-01-10 20:00:00+00:00,53.4301818,14.5509623,59.3005787,5.3017922
MISANA,Rotterdam,Håvik,2022-01-10 19:00:00+00:00,2022-01-12 06:55:00+00:00,51.9244424,4.47775,59.3199898,5.2893224
